Bucket name,Region,Creation Date,Number of files,Total size (GB),Last modified date
dshahnaz-s3-bucket-10,ap-south-1,2022-04-20 13:08:16+00:00,0,0.000,0001-01-01 00:00:00
dshahnaz-s3-bucket-0,us-east-1,2022-04-20 12:06:27+00:00,20,0.026,2022-04-20 13:31:55+00:00
dshahnaz-s3-bucket-1,us-east-1,2022-04-20 12:23:55+00:00,0,0.000,0001-01-01 00:00:00
dshahnaz-s3-bucket-2,us-east-1,2022-04-20 12:06:27+00:00,0,0.000,0001-01-01 00:00:00
dshahnaz-s3-bucket-3,us-east-1,2022-04-20 12:06:26+00:00,0,0.000,0001-01-01 00:00:00
dshahnaz-s3-bucket-4,us-east-1,2022-04-20 12:06:26+00:00,0,0.000,0001-01-01 00:00:00
dshahnaz-s3-bucket-5,us-east-1,2022-04-20 12:06:26+00:00,0,0.000,0001-01-01 00:00:00
dshahnaz-s3-bucket-6,us-east-1,2022-04-20 12:06:26+00:00,0,0.000,0001-01-01 00:00:00
dshahnaz-s3-bucket-7,us-east-1,2022-04-20 12:06:26+00:00,0,0.000,0001-01-01 00:00:00
dshahnaz-s3-bucket-8,us-east-1,2022-04-20 12:06:26+00:00,0,0.000,0001-01-01 00:00:00
dshahnaz-s3-bucket-9,us-east-1,2022-04-20 12:06:26+00:00,0,0.000,0001-01-01 00:00:00
